0,1
てにあせをにぎる,teniasewonigi.ru
ぬすびとがぬすびとにぬすまれる,nusubitoganusubitoninusumare.ru
おんなのあしだあにてつくれるふえにはあきのしかよる,onnanoashidaanitetsukurerufuenihaakinoshikayo.ru
めからはなへぬける,mekarahanahenuke.ru
まゆにつばをつける,mayunitsubawotsuke.ru
あきないはかずでこなせ,akinaihakazudekona.se
はなげをのばす,hanagewonoba.su
けいがいにせっす,keigainise.su
ねたこをおこす,netakowooko.su
はほろびてしたそんす,hahorobiteshitason.su
えんかのこしつ,enkanokoshit.su
ことじににかわす,kotojininikawa.su
なくこはそだつ,nakukohasodat.su
おくじょうおくをかす,okujouokuwoka.su
とらをえがきていぬにるいす,torawoegakiteinunirui.su
やぶのそとでもわかたけそだつ,yabunosotodemowakatakesodat.su
なはたいをあらわす,nahataiwoarawa.su
じゅうよくごうをせいす,juuyokugouwosei.su
さおだけでほしをうつ,aodakedehoshiwout.su
えだをきってねをからす,edawokittenewokara.su
わざわいをてんじてふくとなす,wazawaiwotenjitefukutona.su
つりあわぬはふえんのもと,suriawanuhafuennom.to
あすはあす、きょうはきょう,asuhaasu、kyouhak.you
はちのすをつついたよう,hachinosuwotsutsuita.you
いいがちこうみょう,iigachikoum.you
くものこをちらすよう,kumonokowochiras.you
ばかとはさみはつかいよう,bakatohasamihatsukai.you
みずをうったよう,mizuwoutta.you
