0,1
うさぎをみてたかをはなつ,agiwomitetakawohanat.su
はらをくだす,harawokuda.su
やみからうしをひきだす,yamikaraushiwohikida.su
うよきょくせつ,yokyokuset.su
そでかわす,odekawa.su
ことばのうらくぎをかえす,kotobanourakugiwokae.su
めんぼくだまをふみつぶす,menbokudamawofumitsub.su
めんぼくがたつ,menbokugatat.su
にたものふうふめおと,nitamonofuufume.to
あたらしんみょう,atarashinm.you
じゃがかをのんだよう,jagakawononda.you
ぼうがのきょう,bouganok.you
