0,1
じゅりつ,jurit.su
るじゅつ,rujut.su
ふせつ,fuset.su
ていさつ,teisat.su
しみだす,himida.su
がんあつ,ganat.su
かわがらす,kawagara.su
けいせつ,keiset.su
ふうす,f.su
ふみたおす,fumitao.su
のがす,noga.su
うながす,naga.su
じりつ,jirit.su
こうべつ,koubet.su
えいしゅつ,eishut.su
へいはつ,heihat.su
ぐれつ,guret.su
はんながぐつ,hannagagut.su
たうちしょうがつ,tauchishougat.su
ひだつ,hidat.su
れいもつ,reimot.su
せつ,et.su
ざいこりつ,zaikorit.su
びしつ,bishit.su
きりおとす,kirioto.su
たんれつ,tanret.su
なまりガラス,namarigara.su
めいてつ,meitet.su
へいちつ,heichit.su
はりころす,harikoro.su
さっきだつ,akkidat.su
さくれつ,akuret.su
みたおす,mitao.su
もうしなおす,moushinao.su
ちゅうしょうげいじゅつ,chuushougeijut.su
まろがす,maroga.su
じっこうぜいりつ,jikkouzeirit.su
がくじゅつ,gakujut.su
こねまわす,konemawa.su
せいぜつ,eizet.su
おおしょうがつ,ooshougat.su
てきしゅつ,tekishut.su
どうしゅつ,doushut.su
おにのねんぶつ,oninonenbut.su
しんじゅつ,hinjut.su
えんげつ,enget.su
さかしらびと,sakashirabi.to
ふみよみびと,fumiyomibi.to
きぬいと,kinui.to
いわやと,iwaya.to
まちびと,machibi.to
てびきいと,ebikii.to
ねごと,neg.to
しのびごと,shinobig.to
ぎょうあ,gyo.ua
しひょう,shih.you
さきょう,sak.you
にゅうさんいんりょう,nyuusaninr.you
ぼくよう,bok.you
そうごさよう,sougosa.you
けっしょうぶんかさよう,kesshoubunkasa.you
みずかぎょう,mizukag.you
こていひょう,koteih.you
かんきょう,kank.you
いんよう,in.you
じきょう,jik.you
えんちゅうざひょう,enchuuzah.you
しきりょう,shikir.you
きおくようりょう,kiokuyour.you
だいほうしゃくきょう,daihoushakuk.you
じひょう,jih.you
くきょう,kuk.you
てづまにんぎょう,tezumaning.you
かいりょう,kair.you
たいせいよう,taisei.you
げじんみっきょう,gejinmikk.you
まあきだいみょう,maakidaim.you
ようみょう,m.you
そりょう,sor.you
おんみょう,nm.you
こおりぶぎょう,kooribug.you
てんねんひりょう,tennenhir.you
いせいそこびきあみぎょぎょう,iseisokobikiamigyog.you
みずたまもよう,mizutamam.you
おおいちざ,ooichi.za
おしずれいざ,oshizurei.za
えんざ,en.za
